"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
52,"1","2025-01-24T13:56:41.765991Z",51,"[{""start"":0,""end"":4,""text"":""गृह "",""labels"":[""NOUN""]},{""start"":4,""end"":12,""text"":""लक्ष्मी "",""labels"":[""NOUN""]},{""start"":12,""end"":18,""text"":""योजना "",""labels"":[""NOUN""]},{""start"":18,""end"":21,""text"":""की "",""labels"":[""ADP""]},{""start"":21,""end"":27,""text"":""शुरुआत"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":""के"",""labels"":[""ADP""]},{""start"":31,""end"":35,""text"":""मौके"",""labels"":[""NOUN""]},{""start"":36,""end"":38,""text"":""पर"",""labels"":[""ADP""]},{""start"":39,""end"":41,""text"":""PM"",""labels"":[""PROPN""]},{""start"":42,""end"":51,""text"":""Modi-Amit"",""labels"":[""PROPN""]},{""start"":52,""end"":56,""text"":""Shah"",""labels"":[""PROPN""]},{""start"":57,""end"":59,""text"":""को"",""labels"":[""ADP""]},{""start"":60,""end"":71,""text"":""Mallikarjun"",""labels"":[""PROPN""]},{""start"":72,""end"":78,""text"":""Kharge"",""labels"":[""PROPN""]},{""start"":79,""end"":81,""text"":""का"",""labels"":[""ADP""]},{""start"":82,""end"":88,""text"":""करारा "",""labels"":[""ADJ""]},{""start"":88,""end"":92,""text"":""जवाब"",""labels"":[""NOUN""]}]",146.523,"गृह लक्ष्मी योजना की शुरुआत के मौके पर PM Modi-Amit Shah को Mallikarjun Kharge का करारा जवाब।","2025-01-24T13:56:41.766022Z"
53,"1","2025-01-24T13:58:34.552167Z",52,"[{""start"":0,""end"":7,""text"":""दुनिया "",""labels"":[""NOUN""]},{""start"":7,""end"":10,""text"":""की "",""labels"":[""ADP""]},{""start"":10,""end"":15,""text"":""सबसे "",""labels"":[""ADV""]},{""start"":15,""end"":20,""text"":""बड़ी "",""labels"":[""ADJ""]},{""start"":20,""end"":26,""text"":""महिला "",""labels"":[""NOUN""]},{""start"":26,""end"":35,""text"":""डायरेक्ट "",""labels"":[""ADJ""]},{""start"":35,""end"":43,""text"":""बेनिफिट "",""labels"":[""NOUN""]},{""start"":43,""end"":52,""text"":""ट्रांसफर "",""labels"":[""NOUN""]},{""start"":52,""end"":58,""text"":""स्कीम "",""labels"":[""NOUN""]},{""start"":58,""end"":61,""text"":""आज "",""labels"":[""ADV""]},{""start"":61,""end"":64,""text"":""से "",""labels"":[""ADP""]},{""start"":64,""end"":68,""text"":""शुरू"",""labels"":[""VERB""]},{""start"":70,""end"":76,""text"":""Gruha "",""labels"":[""PROPN""]},{""start"":76,""end"":84,""text"":""Lakshmi "",""labels"":[""PROPN""]},{""start"":84,""end"":91,""text"":""Yojana "",""labels"":[""PROPN""]},{""start"":91,""end"":100,""text"":""Karnataka"",""labels"":[""PROPN""]}]",110.861,"दुनिया की सबसे बड़ी महिला डायरेक्ट बेनिफिट ट्रांसफर स्कीम आज से शुरू| Gruha Lakshmi Yojana Karnataka","2025-01-24T13:58:34.552186Z"
54,"1","2025-01-24T14:00:01.264765Z",53,"[{""start"":1,""end"":9,""text"":""महिलाओं "",""labels"":[""NOUN""]},{""start"":9,""end"":12,""text"":""को "",""labels"":[""ADP""]},{""start"":12,""end"":17,""text"":""तोहफा"",""labels"":[""NOUN""]},{""start"":19,""end"":28,""text"":""Congress "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""हर "",""labels"":[""DET""]},{""start"":31,""end"":37,""text"":""महीने "",""labels"":[""NOUN""]},{""start"":37,""end"":42,""text"":""2000 "",""labels"":[""NUM""]},{""start"":42,""end"":48,""text"":""रुपये "",""labels"":[""NOUN""]},{""start"":48,""end"":53,""text"":""देगी "",""labels"":[""VERB""]},{""start"":55,""end"":61,""text"":""Gruha "",""labels"":[""PROPN""]},{""start"":61,""end"":69,""text"":""Lakshmi "",""labels"":[""PROPN""]},{""start"":69,""end"":76,""text"":""Yojana "",""labels"":[""PROPN""]},{""start"":76,""end"":86,""text"":""Karnataka "",""labels"":[""PROPN""]},{""start"":88,""end"":94,""text"":""Rahul "",""labels"":[""PROPN""]},{""start"":94,""end"":100,""text"":""Gandhi"",""labels"":[""PROPN""]}]",85.651,"""महिलाओं को तोहफा, Congress हर महीने 2000 रुपये देगी | Gruha Lakshmi Yojana Karnataka | Rahul Gandhi""","2025-01-24T14:00:01.264802Z"
55,"1","2025-01-24T14:01:54.426428Z",54,"[{""start"":0,""end"":3,""text"":""ये "",""labels"":[""NOUN""]},{""start"":3,""end"":9,""text"":""INDIA "",""labels"":[""PROPN""]},{""start"":9,""end"":12,""text"":""की "",""labels"":[""ADP""]},{""start"":12,""end"":17,""text"":""ताकत "",""labels"":[""NOUN""]},{""start"":17,""end"":20,""text"":""है "",""labels"":[""VERB""]},{""start"":20,""end"":23,""text"":""कि "",""labels"":[""CONJ""]},{""start"":23,""end"":28,""text"":""Modi "",""labels"":[""PROPN""]},{""start"":28,""end"":34,""text"":""सरकार "",""labels"":[""NOUN""]},{""start"":34,""end"":37,""text"":""Gas"",""labels"":[""NOUN""]},{""start"":38,""end"":47,""text"":""Cylinder "",""labels"":[""NOUN""]},{""start"":47,""end"":50,""text"":""के "",""labels"":[""ADP""]},{""start"":50,""end"":54,""text"":""दाम "",""labels"":[""NOUN""]},{""start"":54,""end"":60,""text"":""घटाने "",""labels"":[""VERB""]},{""start"":60,""end"":63,""text"":""को "",""labels"":[""ADP""]},{""start"":63,""end"":69,""text"":""मजबूर "",""labels"":[""ADJ""]},{""start"":69,""end"":72,""text"":""हैं"",""labels"":[""VERB""]},{""start"":74,""end"":82,""text"":""Supriya "",""labels"":[""PROPN""]},{""start"":82,""end"":90,""text"":""Shrinate"",""labels"":[""PROPN""]}]",112.164,"ये INDIA की ताकत है कि Modi सरकार Gas Cylinder के दाम घटाने को मजबूर हैं' Supriya Shrinate","2025-01-24T14:01:54.426450Z"
56,"1","2025-01-24T14:04:29.798851Z",55,"[{""start"":1,""end"":5,""text"":""चीन "",""labels"":[""PROPN""]},{""start"":5,""end"":8,""text"":""ने "",""labels"":[""ADP""]},{""start"":8,""end"":12,""text"":""मैप "",""labels"":[""NOUN""]},{""start"":12,""end"":17,""text"":""जारी "",""labels"":[""VERB""]},{""start"":17,""end"":20,""text"":""कर "",""labels"":[""PART""]},{""start"":20,""end"":34,""text"":""अरूणाचल-अक्साई"",""labels"":[""PROPN""]},{""start"":35,""end"":39,""text"":""चिन "",""labels"":[""PROPN""]},{""start"":39,""end"":42,""text"":""को "",""labels"":[""ADP""]},{""start"":42,""end"":47,""text"":""अपना "",""labels"":[""PROPN""]},{""start"":47,""end"":53,""text"":""इलाका "",""labels"":[""NOUN""]},{""start"":53,""end"":58,""text"":""बताया"",""labels"":[""VERB""]},{""start"":60,""end"":66,""text"":""China "",""labels"":[""PROPN""]},{""start"":66,""end"":69,""text"":""के "",""labels"":[""ADP""]},{""start"":69,""end"":78,""text"":""दुस्साहस "",""labels"":[""NOUN""]},{""start"":78,""end"":81,""text"":""पर "",""labels"":[""ADP""]},{""start"":81,""end"":86,""text"":""Modi "",""labels"":[""PROPN""]},{""start"":86,""end"":90,""text"":""चुप "",""labels"":[""ADJ""]},{""start"":90,""end"":96,""text"":""क्यों "",""labels"":[""ADV""]},{""start"":96,""end"":99,""text"":""हैं"",""labels"":[""VERB""]}]",154.427,"""चीन ने मैप जारी कर अरूणाचल-अक्साई चिन को अपना इलाका बताया, China के दुस्साहस पर Modi चुप क्यों हैं?""","2025-01-24T14:04:29.798873Z"
57,"1","2025-01-24T14:07:59.801506Z",56,"[{""start"":1,""end"":5,""text"":""लाल "",""labels"":[""ADJ""]},{""start"":5,""end"":11,""text"":""डायरी "",""labels"":[""NOUN""]},{""start"":11,""end"":15,""text"":""में "",""labels"":[""ADP""]},{""start"":15,""end"":19,""text"":""BJP "",""labels"":[""PROPN""]},{""start"":19,""end"":22,""text"":""के "",""labels"":[""ADP""]},{""start"":22,""end"":32,""text"":""मंत्रियों "",""labels"":[""NOUN""]},{""start"":32,""end"":35,""text"":""के "",""labels"":[""ADP""]},{""start"":35,""end"":38,""text"":""नाम"",""labels"":[""NOUN""]},{""start"":40,""end"":46,""text"":""देखते "",""labels"":[""VERB""]},{""start"":46,""end"":50,""text"":""हैं "",""labels"":[""VERB""]},{""start"":50,""end"":55,""text"":""Amit "",""labels"":[""PROPN""]},{""start"":55,""end"":60,""text"":""Shah "",""labels"":[""PROPN""]},{""start"":82,""end"":88,""text"":""Pawan "",""labels"":[""PROPN""]},{""start"":88,""end"":93,""text"":""Khera"",""labels"":[""PROPN""]},{""start"":60,""end"":65,""text"":""क्या "",""labels"":[""PRON_WH""]},{""start"":65,""end"":72,""text"":""खुलासा "",""labels"":[""NOUN""]},{""start"":72,""end"":77,""text"":""करते "",""labels"":[""VERB""]},{""start"":77,""end"":80,""text"":""हैं"",""labels"":[""VERB""]}]",315.874,"""लाल डायरी में BJP के मंत्रियों के नाम, देखते हैं Amit Shah क्या खुलासा करते हैं- Pawan Khera""","2025-01-24T15:04:06.759050Z"
58,"1","2025-01-24T15:05:58.980098Z",57,"[{""start"":1,""end"":2,""text"":""4"",""labels"":[""NUM""]},{""start"":3,""end"":7,""text"":""दिन "",""labels"":[""NOUN""]},{""start"":7,""end"":12,""text"":""पहले "",""labels"":[""ADV""]},{""start"":12,""end"":25,""text"":""Modi-Jinping "",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""की "",""labels"":[""ADP""]},{""start"":28,""end"":35,""text"":""मुलाकात"",""labels"":[""NOUN""]},{""start"":37,""end"":40,""text"":""अब "",""labels"":[""ADV""]},{""start"":40,""end"":44,""text"":""चीन "",""labels"":[""PROPN""]},{""start"":44,""end"":50,""text"":""नक्शे "",""labels"":[""NOUN""]},{""start"":50,""end"":54,""text"":""में "",""labels"":[""ADP""]},{""start"":54,""end"":61,""text"":""अरुणाचल"",""labels"":[""PROPN""]},{""start"":63,""end"":71,""text"":""अक्‍साई "",""labels"":[""PROPN""]},{""start"":71,""end"":75,""text"":""चिन "",""labels"":[""PROPN""]},{""start"":75,""end"":78,""text"":""को "",""labels"":[""ADP""]},{""start"":78,""end"":83,""text"":""अपना "",""labels"":[""PROPN""]},{""start"":83,""end"":89,""text"":""इलाका "",""labels"":[""NOUN""]},{""start"":89,""end"":93,""text"":""बता "",""labels"":[""VERB""]},{""start"":93,""end"":97,""text"":""रहा "",""labels"":[""VERB""]},{""start"":97,""end"":99,""text"":""है"",""labels"":[""VERB""]}]",111.068,"""4 दिन पहले Modi-Jinping की मुलाकात, अब चीन नक्शे में अरुणाचल, अक्‍साई चिन को अपना इलाका बता रहा है।""","2025-01-24T15:05:58.980121Z"
59,"1","2025-01-24T15:08:56.710514Z",58,"[{""start"":1,""end"":4,""text"":""PM "",""labels"":[""PROPN""]},{""start"":4,""end"":9,""text"":""Modi "",""labels"":[""PROPN""]},{""start"":9,""end"":12,""text"":""से "",""labels"":[""ADP""]},{""start"":12,""end"":20,""text"":""मुलाकात "",""labels"":[""NOUN""]},{""start"":20,""end"":22,""text"":""के"",""labels"":[""ADP""]},{""start"":23,""end"":24,""text"":""4"",""labels"":[""NUM""]},{""start"":25,""end"":29,""text"":""दिन "",""labels"":[""NOUN""]},{""start"":29,""end"":33,""text"":""बाद "",""labels"":[""ADP""]},{""start"":33,""end"":39,""text"":""China "",""labels"":[""PROPN""]},{""start"":39,""end"":42,""text"":""ने "",""labels"":[""ADP""]},{""start"":42,""end"":56,""text"":""अरुणाचल-अक्साई"",""labels"":[""PROPN""]},{""start"":57,""end"":60,""text"":""चिन"",""labels"":[""PROPN""]},{""start"":61,""end"":64,""text"":""को "",""labels"":[""ADP""]},{""start"":64,""end"":69,""text"":""अपना "",""labels"":[""PROPN""]},{""start"":69,""end"":75,""text"":""इलाका "",""labels"":[""NOUN""]},{""start"":75,""end"":80,""text"":""बताया"",""labels"":[""VERB""]},{""start"":82,""end"":87,""text"":""भड़के"",""labels"":[""VERB""]},{""start"":88,""end"":94,""text"":""Pawan "",""labels"":[""PROPN""]},{""start"":94,""end"":99,""text"":""Khera"",""labels"":[""PROPN""]}]",93.562,"""PM Modi से मुलाकात के 4 दिन बाद China ने अरुणाचल-अक्साई चिन को अपना इलाका बताया, भड़के Pawan Khera""","2025-01-24T15:08:56.710536Z"
60,"1","2025-01-24T15:28:18.372622Z",59,"[{""start"":0,""end"":6,""text"":""INDIA "",""labels"":[""PROPN""]},{""start"":42,""end"":48,""text"":""INDIA "",""labels"":[""PROPN""]},{""start"":48,""end"":51,""text"":""Vs "",""labels"":[""PROPN""]},{""start"":51,""end"":55,""text"":""NDA "",""labels"":[""PROPN""]},{""start"":92,""end"":98,""text"":""Mumbai"",""labels"":[""PROPN""]},{""start"":73,""end"":84,""text"":""Opposition "",""labels"":[""NOUN""]},{""start"":84,""end"":92,""text"":""Meeting "",""labels"":[""NOUN""]},{""start"":6,""end"":8,""text"":""के"",""labels"":[""ADP""]},{""start"":9,""end"":13,""text"":""साथ "",""labels"":[""ADP""]},{""start"":13,""end"":20,""text"":""तरक्की "",""labels"":[""NOUN""]},{""start"":20,""end"":23,""text"":""के "",""labels"":[""ADP""]},{""start"":23,""end"":27,""text"":""सफर "",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""पर "",""labels"":[""ADP""]},{""start"":30,""end"":36,""text"":""चलेगा "",""labels"":[""VERB""]},{""start"":36,""end"":40,""text"":""देश "",""labels"":[""NOUN""]},{""start"":57,""end"":62,""text"":""2024 "",""labels"":[""NUM""]},{""start"":62,""end"":71,""text"":""Election "",""labels"":[""NOUN""]}]",1157.311,"INDIA के साथ तरक्की के सफर पर चलेगा देश । INDIA Vs NDA | 2024 Election | Opposition Meeting Mumbai","2025-01-24T15:28:18.372654Z"
